Õ‡ËÏÂÌÓ‚‡ÌËÂ;–ÛÎÓÌÓ‚;œ‡ÚËˇ;Õ‡ÂÁÍ‡ Ãœ;ÍÓÏÂÌÚ
7 Mil;0;;9,5;
AG 4;1;old;27,9;Â˚
AG 4;72;621;0;
BLACK OUT;91;old;24,65;
BLACK OUT;25;621;0;
BLUE MATTE;31;old;24,8;
BRONZE MATTE;21;old;15,5;
CARBON BLACK 05;94;old;0;Í˚
CARBON BLACK 05;112;1220;25,8;
CARBON BLACK 05;198;621;25;
CARBON BLACK 15;24;old;0;
CARBON BLACK 15;5;1220;20;
CARBON BLACK 15;50;621;0;
CARBON BLACK 20;38;old;0;
CARBON BLACK 20 ;3;1220;29,8;
CARBON BLACK 35;1;1220;0;˚ÍÂ
CARBON BLACK 35;7;321;0;
CARBON BLACK 35;6;621;0;
CARBON BLACK 50;1;old;0;
CARBON BLACK 50;23;1220;28,3;
CARBON BLACK 70;22;old;0;
CARBON BLACK 70;9;1220;28;˚ÍÂ
CH 05;177;old;16,5;
CH 15;152;old;16;
CH 20;26;old;26;ÙÔ‡
CH 35;7;old;28,5;
CH 50;8;old;25,3;
CR 3601;0;old;33,1;ÚÔˇ˚‚‡
DESERT SMOKE 30;9;old;10;
EA 100 G20;33;old;24;
EASY TACK CLEAR;13;old;3,3;
ES 35;18;old;3,4;
ES 50;6;old;22,5;
EX 35 CH;6;old;0;
EX 35 GP;4;old;0;
FIRE RED SUNGARD;0;old;9,6;
GA-010;2;old;14,9;
GL B15 SR;0;old;27;
GP 05;10;old;18,35;
GP 20;53;old;12,5;
GP 2020;3;old;22,3;
GP 35;14;old;28;
GP 50;0;old;27;
GRAY MATTE;3;1220;12;
GRAY MATTE;130;621;0;
GREEN MATTE;48;old;1,8;
"GREEN/GREY 05 (20"")";1;old;23,5;
"GREEN/GREY 20 (30"")";1;old;0;
GSN 10;17;old;14,45;
GSN 20;30;old;20,5;
GSN 30;11;old;3,4;
GSN 40;6;old;25,7;
HPW GRAPHITE 35 (1M) ¡–¿ ;19;old;28;
HYBRID CARBON BRONZE 35;49;old;16,15;
HYBRID CARBON BRONZE 50;34;old;2,4;
INT 100-01;17;old;37,2;
INT 100-02;55;old;16;
INT 100-03;29;old;0;
INT 100-05;30;1220;0;
INT 100-06;38;old;0;
INT 100-06 ¡–¿ ;0;old;12,1;
INT 100-07;59;old;39;
INT 100-08;44;old;33,35;
INT 100-09;56;old;46,6;
INT 100-10 (45M);1;old;32;
INT 100-10 (WHITE OUT);109;old;0;
INT 100-11;58;old;10,45;
INT 100-12;26;old;28,7;
INT 100-12 (¡–¿ );2;old;29;
INT 100-13;13;old;14,4;
INT 100-14 (60M);1;old;34,9;
INT 100-15;47;old;41,7;
INT 100-15 ¡–¿ ;0;old;34,2;
INT 100-16;25;old;3;
INT 100-16 ¡–¿ ;0;old;12,1;
IR 20;4;old;0;
IR 40;0;old;30;
IR 60;12;old;24;
IR 70;16;old;0;
IR 75;28;old;8,4;
IR 75-40;30;old;5,4;
IR 80 CERAMIC;16;old;22;
IR 85-40;10;old;25;
KELLY GREEN;0;old;8;
MGD 35;6;old;19,4;
MIDNIGHT;11;old;0;
MN 15;101;old;0;
MN 20;74;old;19,7;
MN 30;10;old;28;
NR 35 BLUE;0;old;10,7;
ORANGE;0;old;10;
P8010;2;old;0;
PPF C CLEAR;0;old;13,1;
PVC VINIL;1;old;0;
QB 1202;0;old;25;
QD 5102;0;old;25,5;
QD 5109;0;old;24,3;
QD 5202;0;old;18,45;
QD 5212;1;old;0;
QD 6103;0;old;3,17;
QD 7102;8;old;0;
QD 8101;0;old;16,8;
QD 8102;1;old;0;
QS 1201;1;old;0;
RAGE 0540;0;old;13;
RAGE 1540;0;old;24,5;
RAGE 2040;0;old;27,5;
RAGE 3540;0;old;27,5;
RAGE 4340;0;old;27,35;
RED MATTE;24;old;0;
"RED/GREY 05 (20"")";8;old;3,65;
"RED/GREY 05 (30"")";4;old;23,5;
RLW GREEN 20;13;old;17,65;
RN 0530;0;old;4;
RN 3530;1;old;0;
SB 50;8;old;15,5;
SEC 11;15;old;0;
SEC 4;1;old;3,25;
SEC 7;7;old;14,5;
SF 11,5mil / 60;11;1220;0;
SF 11,5mil / 60;154;321;0;
SF 11,5mil / 60;129;621;0;
SF 11,5mil / 60 ¡–¿ ;3;old;0;
SF 11,5mil / 72;22;321;0;
SF 11,5mil / 72;35;621;0;
SF 2mil / 60;0;old;8,35;
SF 2mil / 60;14;621;0;
SF 4mil / 60;1;321;0;
SF 4mil / 60;158;621;0;
SF 4mil / 72;230;1220;2,45;
SF 4mil / 72;313;321;0;
SF 4mil / 72;126;621;0;
SF 7mil / 60;112;old;0;
SF 7mil / 60;38;321;0;
SF 7mil / 60;60;621;0;
SF 7mil / 60 ¡–¿ ;8;old;0;
SF 7mil / 72 ;13;old;0;
SF 7mil / 72 ;15;321;0;
SF 7mil / 72 ;24;621;0;
SFC 11M China;22;old;10,5;
SFC 12M China;83;old;0;
SFC 4M China;532;old;0;
SFC 4M ¡–¿  China;5;old;0;
SFC 7M China;22;old;0;
SILVER 05;0;old;19,5;
SILVER 15 5 MIL;0;old;8,5;
SILVER 16;0;old;23,7;
SILVER 16;2;1220;0;
SILVER 16;0;621;0;
SILVER 16 / 72;8;old;13;
SILVER 16 / 72;11;321;0;
SILVER 16 / 72;4;621;0;
SILVER 16 / 72 ¡–¿ ;38;old;26;
SILVER 16 EXT;33;old;0;
SILVER 16 ¡–¿ ;3;old;0;
SILVER 34;2;old;0;
SILVER 34;76;1220;0;
SILVER 34;30;621;0;
SILVER 35;17;old;21,5;
SILVER 50;36;old;29;
SILVER MATTE;16;old;11,45;
SILVER MATTE;30;321;0;
SILVER MATTE 2M;64;old;0;
SILVER MATTE/RED;1;old;5,25;
SILVER OUT;45;old;22;
SILVER/BLUE;72;old;0;
SILVER/BLUE;48;1220;0;
SILVER/BLUE;29;321;0;
SILVER/BLUE (45M);7;old;9,1;
SILVER/BRONZE;0;old;0;
SILVER/BRONZE;15;1220;0;
SILVER/BRONZE;200;321;0;
SILVER/BRONZE;30;621;0;
SILVER/BRONZE (45M);30;old;38,6;
SILVER/GOLD;15;old;0;
SILVER/GOLD;100;321;0;
SILVER/GOLD;20;621;0;
SILVER/GOLD (45M);52;old;4,1;
SILVER/GRAY;62;old;15;
SILVER/GRAY Œ¡Œ–;47;old;27,7;
SILVER/GREEN;124;old;0;
"SILVER/GREY 35 (20"")";1;old;3,8;
"SILVER/GREY 35 (30"")";0;old;24,5;
SILVER/ORANGE;27;old;20,85;
SILVER/ORANGE ¡–¿ ;79;old;15,9;
SILVER/ORANGE Œ¡Œ–;15;old;50,6;
SILVER/RED;55;old;13,6;
SOLAR BRONZE 20;1;old;28,27;
SOLAR BRONZE 20;42;321;0;
SOLAR BRONZE 35;8;old;18,6;
SOLAR BRONZE 35;50;321;0;
SOLAR BRONZE 50;16;old;24,8;
SP 15;99;old;18;
SP 20;28;old;14;
SP 35;12;old;15,5;
SP 35-40;0;old;22;
SPECTRA 10;1;old;13,2;
SPECTRA 35;3;old;0;
SPUTTEC 05;30;old;20,9;
SPUTTEC 15;25;old;19,35;
SPUTTEC 60 BK 05;27;old;21,3;
SPUTTEC 60 BK 15;27;old;10,4;
SPUTTEC 60 BK 50;2;old;11,5;
SPUTTEC 60 BK 50;23;1220;29,6;
SS 35;0;old;0,49;
STD 20;17;old;13,1;
STD 35;12;old;18;
SUNTEK 4M (183);0;old;3,2;
TRIPPER ¡–¿ ;25;old;0;
TU 7080;0;old;26;
TUR 4 BK;1;old;0;
VT 150 GP 05;2;old;24,5;
WHITE MATTE 1/1;128;old;25;
WHITE MATTE 1/2;134;1220;25;
WHITE MATTE 1/2;30;621;0;
WHITE MATTE 2/2;12;old;26,1;
WHITE MATTE 2/2 (183);80;old;15,17;
WHITE MATTE 2/2 (183);29;321;0;
WND 05 BK;120;old;8,8;
WND 05 DB;14;old;10,1;
WND 15 DB;3;old;3,5;
WND 20 BK;67;old;12;
WND 35 BK;17;old;0;
WND 50 BK;19;old;25,5;
WRD 05 DB;14;old;33,4;
WRD 05 LB;124;old;39,7;
WRD 15 DB;46;old;27;
WRD 15 LB;41;old;0;
WRD 15 LB **;46;old;0;
WRD 20 DB;57;old;0;
